epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.5519,3.8361,137.08,4.49496,0,0,0,0,nan,nan,nan,0.0704054,0.00328829,0.00328829
2,262.404,3.6083,3.09284,4.23959,0.00694,0.00093,0.00348,0.00104,4.18302,5.09061,4.61242,0.0403399,0.00655607,0.00655607
3,370.892,3.46293,2.93712,3.86187,0.00857,0.01589,0.00471,0.00153,3.78287,3.10097,4.04538,0.0102083,0.00975785,0.00975785
4,468.118,3.4082,2.93936,3.72093,0.00825,0.01589,0.00448,0.00136,3.78487,3.06206,4.05468,0.009703,0.009703,0.009703
5,600.597,3.37605,2.84234,3.6943,0.00634,0.01682,0.00354,0.00101,3.82766,3.18926,4.06519,0.009604,0.009604,0.009604
6,695.486,3.42624,2.82482,3.64826,0.00646,0.01589,0.00379,0.00103,3.87128,3.29658,4.12763,0.009505,0.009505,0.009505
7,788.454,3.35319,2.77826,3.61095,0.00531,0.01308,0.00542,0.00193,3.88508,2.69891,4.07618,0.009406,0.009406,0.009406
8,882.487,3.45151,2.7207,3.67285,0.00449,0.01215,0.00362,0.00117,3.87815,3.71699,4.10452,0.009307,0.009307,0.009307
9,975.559,3.36192,2.58078,3.61373,0.09598,0.01028,0.00534,0.00129,3.86641,2.81243,4.07452,0.009208,0.009208,0.009208
10,1111.44,3.49601,2.54728,3.6913,0.01146,0.01589,0.00868,0.00238,3.72666,2.30964,3.97082,0.009109,0.009109,0.009109
11,1205.42,3.42127,2.59577,3.6509,0.01555,0.01869,0.0118,0.0033,3.56839,2.30878,3.85469,0.00901,0.00901,0.00901
12,1350.23,3.20552,2.67087,3.60217,0.01361,0.02243,0.01086,0.00326,3.52619,2.51574,3.87916,0.008911,0.008911,0.008911
