epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0449,3.89731,8.74374,3.51922,0,0,0,0,nan,nan,nan,0.0838,0.0018,0.0018
2,27.3669,4.20285,3.02951,3.54619,0,0,0,0,nan,nan,nan,0.0666634,0.00366337,0.00366337
3,36.8184,3.8846,2.78588,2.62033,0,0,0,0,nan,nan,nan,0.0494891,0.00548912,0.00548912
4,47.2609,3.80772,2.6773,2.28109,0,0,0,0,nan,nan,nan,0.0322773,0.00727725,0.00727725
5,62.7368,3.77476,2.57959,2.15054,0.01371,0.01589,0.00701,0.00172,nan,nan,nan,0.0150278,0.00902776,0.00902776
6,77.8619,3.75061,2.47482,2.09482,0.01091,0.03364,0.00598,0.00169,4.17829,3.77249,5.91229,0.009505,0.009505,0.009505
7,87.6705,3.7014,2.43191,2.02475,0.01848,0.05701,0.01019,0.00269,4.20232,3.1995,2.48042,0.009406,0.009406,0.009406
8,97.9159,3.71242,2.4496,2.02285,0.05273,0.16262,0.03994,0.0096,3.77528,2.47754,2.08979,0.009307,0.009307,0.009307
9,119.698,3.71141,2.36579,1.98521,0.05636,0.17383,0.04412,0.01062,3.75586,2.38147,2.05053,0.009208,0.009208,0.009208
10,129.01,3.68796,2.37755,2.00399,0.0603,0.18598,0.05262,0.01248,3.72449,2.24335,2.02092,0.009109,0.009109,0.009109
11,138.696,3.64513,2.27065,1.97067,0.04667,0.14393,0.03414,0.00803,3.87535,2.86589,2.10384,0.00901,0.00901,0.00901
12,147.994,3.605,2.25994,1.95003,0.03727,0.11495,0.02364,0.00587,3.89954,3.16335,2.1356,0.008911,0.008911,0.008911
13,157.103,3.59134,2.20622,1.93726,0.03424,0.10561,0.01946,0.00534,3.90603,3.29635,2.08302,0.008812,0.008812,0.008812
14,166.488,3.58657,2.24709,1.90522,0.09208,0.17664,0.05173,0.01331,3.67086,2.09804,1.93555,0.008713,0.008713,0.008713
15,175.853,3.56311,2.12481,1.87217,0.05545,0.17103,0.05267,0.01282,3.79026,2.51837,2.00008,0.008614,0.008614,0.008614
16,184.978,3.47862,2.12328,1.83673,0.09809,0.21869,0.06704,0.01671,3.54208,2.11405,1.87255,0.008515,0.008515,0.008515
17,195.492,3.45395,2.118,1.80611,0.1013,0.19533,0.06301,0.01515,3.59711,2.02566,1.89453,0.008416,0.008416,0.008416
18,204.717,3.38871,2.11872,1.82891,0.15615,0.25981,0.09953,0.02658,3.32633,2.02267,1.79947,0.008317,0.008317,0.008317
19,215.68,3.31909,2.10245,1.76859,0.14868,0.24486,0.10159,0.02709,3.37896,1.88628,1.80245,0.008218,0.008218,0.008218
20,224.685,3.29286,2.01603,1.77098,0.15712,0.23832,0.0981,0.0261,3.32872,1.92657,1.78908,0.008119,0.008119,0.008119
21,233.679,3.23456,2.01589,1.7508,0.14934,0.21308,0.09374,0.02528,3.32768,2.0704,1.76717,0.00802,0.00802,0.00802
22,242.673,3.26013,1.97837,1.7241,0.15596,0.23458,0.09952,0.02847,3.29724,1.97106,1.76153,0.007921,0.007921,0.007921
23,251.772,3.19696,1.98996,1.72011,0.16983,0.3,0.12368,0.03639,3.22286,1.78557,1.74014,0.007822,0.007822,0.007822
24,263.597,3.22381,1.93344,1.69774,0.17328,0.29159,0.12857,0.03511,3.24739,1.7455,1.73571,0.007723,0.007723,0.007723
25,272.452,3.13482,1.95905,1.70596,0.15202,0.22523,0.09325,0.02551,3.38595,1.99585,1.79465,0.007624,0.007624,0.007624
26,281.429,3.16033,1.93748,1.68188,0.1582,0.25888,0.11739,0.03381,3.23066,1.80301,1.7525,0.007525,0.007525,0.007525
27,295.414,3.16465,1.92388,1.69799,0.17282,0.26849,0.12767,0.03571,3.22645,1.81417,1.74723,0.007426,0.007426,0.007426
28,304.411,3.15043,1.90242,1.68385,0.18108,0.30374,0.14854,0.04202,3.17436,1.73927,1.71935,0.007327,0.007327,0.007327
